IceCC opcode name, opcode ID, parameters, opcode description

playfram          0x00 - <frame#> - displays a particular frame, adjusted for direction.
playframtile      0x01 - <frame#> - displays a particular frame dependent on tileset.
sethorpos         0x02 - <x> - sets the current horizontal offset of the current image overlay.
setvertpos        0x03 - <y> - sets the vertical position of an image overlay.
setpos            0x04 - <x> <y> - sets the current horizontal and vertical position of the current image overlay.
wait              0x05 - <#ticks> - pauses script execution for a specific number of ticks.
waitrand          0x06 - <#ticks1> <#ticks2> - pauses script execution for a random number of ticks given two possible wait times. 
goto              0x07 - <labelname> - unconditionally jumps to a specific code block.
imgol             0x08 - <image#> <x> <y> - displays an active image overlay at an animation level higher than the current image overlay at a specified offset position.
imgul             0x09 - <image#> <x> <y> - displays an active image overlay at an animation level lower than the current image overlay at a specified offset position.
imgolorig         0x0a - <image#> - displays an active image overlay at an animation level higher than the current image overlay at the relative origin offset position.
switchul          0x0b - <image#> - only for powerups. Hypothesised to replace the image overlay that was first created by the current image overlay.
__0c              0x0c - no parameters - unknown.
imgoluselo        0x0d - <image#> <x> <y> - displays an active image overlay at an animation level higher than the current image overlay, using a LO* file to determine the offset position.
imguluselo        0x0e - <image#> <x> <y> - displays an active image overlay at an animation level lower than the current image overlay, using a LO* file to determine the offset position.
sprol             0x0f - <sprite#> <x> <y> - spawns a sprite one animation level above the current image overlay at a specific offset position.
highsprol         0x10 - <sprite#> <x> <y> - spawns a sprite at the highest animation level at a specific offset position.
lowsprul          0x11 - <sprite#> <x> <y> - spawns a sprite at the lowest animation level at a specific offset position.
uflunstable       0x12 - <flingy# - creates an flingy with restrictions; supposedly crashes in most cases.
spruluselo        0x13 - <sprite#> <x> <y> - spawns a sprite one animation level below the current image overlay at a specific offset position. The new sprite inherits the direction of the current sprite. Requires LO* file for unknown reason.
sprul             0x14 - <sprite#> <x> <y> - spawns a sprite one animation level below the current image overlay at a specific offset position. The new sprite inherits the direction of the current sprite.
sproluselo        0x15 - <sprite#> <overlay#> - spawns a sprite one animation level above the current image overlay, using a specified LO* file for the offset position information. The new sprite inherits the direction of the current sprite.
end               0x16 - no parameters - destroys the current active image overlay, also removing the current sprite if the image overlay is the last in one in the current sprite.
setflipstate      0x17 - <flipstate> - sets flip state of the current image overlay.
playsnd           0x18 - <sound#> - plays a sound.
playsndrand       0x19 - <#sounds> <sound#> <...> - plays a random sound from a list.
playsndbtwn       0x1a - <firstsound#> <lastsound#> - plays a random sound between two inclusive sfxdata.dat entry IDs.
domissiledmg      0x1b - no parameters - causes the damage of a weapon flingy to be applied according to its weapons.dat entry.
attackmelee       0x1c - <#sounds> <sound#> <...> - applies damage to target without creating a flingy and plays a sound.
followmaingraphic 0x1d - no parameters - causes the current image overlay to display the same frame as the parent image overlay.
randcondjmp       0x1e - <randchance#> <labelname> - random jump, chance of performing jump depends on the parameter.
turnccwise        0x1f - <turnamount> - turns the flingy counterclockwise by a particular amount.
turncwise         0x20 - <turnamount> - turns the flingy clockwise by a particular amount.
turn1cwise        0x21 - no parameters - turns the flingy clockwise by one direction unit.
turnrand          0x22 - <turnamount> - turns the flingy a specified amount in a random direction, with a heavy bias towards turning clockwise.
setspawnframe     0x23 - <direction> - in specific situations, performs a natural rotation to the given direction.
